state,et_total_population,em_total_pop_median_age,e_total_pop_race_white,e_total_pop_race_black,e_total_pop_race_native_pop,e_total_pop_race_asian,e_total_pop_race_pacific_islander,e_total_pop_race_other_race,e_total_pop_race_two_or_more_races,e_total_pop_race_hispanic,e_total_pop_in_households_householder_parent,e_total_pop_over_30_responsible_for_grandchildren_live_together_and_responsible,e_total_households_type_nonfamily_householder_living_alone,e_total_housing_units_more_than_one_occupant_per_room,e_total_pop_poverty_status_below_100_percent,em_total_housing_units_avg_household_size_owned,e_total_pop_over_16_employment_status_in_civilian_labor_force_employed,em_total_households_with_income_mean_earnings,cdc_svi_overall_ranking,pop_density,et_over_60_population,em_over_60_pop_median_age,e_over_60_race_white,e_over_60_race_black,e_over_60_race_native_pop,e_over_60_race_asian,e_over_60_race_pacific_islander,e_over_60_race_other_race,e_over_60_race__two_or_more_races,e_over_60_race_hispanic,e_over_60_households_type_family,e_total_pop_over_60_responsible_for_grandchildren_live_together,e_pop_over_60_disability_status_yes,e_over_60_pop_employment_status_in_civilian_labor_force,e_over_60_pop_poverty_status_below_100_percent,em_over_60_housing_units_avg_household_size_owned,date,positive,negative,hospitalized_currently,in_icu_currently,on_ventilator_currently,hospitalized_cumulative,in_icu_cumulative,on_ventilator_cumulative,recovered,death_increase,death,hospitalized_increase,hospitalized,positive_increase,negative_increase,positive_tests_viral,negative_tests_viral,total_test_results_increase,data_quality_grade,cases_white,cases_black,cases_latinx,cases_asian,cases_aian,cases_nhpi,cases_multiracial,cases_other,cases_unknown,deaths_white,deaths_black,deaths_latinx,deaths_asian,deaths_asian,deaths_aian,deaths_nhpi,deaths_multiracial,deaths_other,deaths_unknown
ME,1315926,689.3,1242977.909,17864.898,8003.086000000001,14673.716999999999,206.10500000000002,3034.0740000000005,29038.726,21007.162,9145.133,6653.414999999999,160938.94100000002,8330.035,158576.798,36.07,658968.896,1003814.0,0.31955333333333336,97.29003012333332,354495,1040.6000000000001,346841.66400000005,1212.067,1322.019,2139.448,32.116,239.26999999999998,2715.7119999999995,2127.548,118361.50200000001,10222.494,102393.81099999999,108471.18299999999,31246.459000000003,28.470000000000002,20200715,3578.0,124353.0,60.0,28.0,14.0,373.0,,,3079.0,5,114.0,49,373.0,78,13358,4415.0,122948.0,13436,,,826.0,,87.0,7.0,13.0,22.0,110.0,598.0,104.0,2.0,,,,,,,1.0,95.0
MI,9679772,2589.3000000000006,7560014.170999999,1370544.3070000003,47633.109999999986,304233.989,966.4499999999999,118704.56199999999,277602.0779999999,493680.9580000001,85231.51699999999,58592.82899999999,1110503.369,62637.71900000001,1413922.4569999997,151.62,4492786.061,4158067.0,0.40948524590163915,251.26610066032785,2195851,4236.599999999999,1877154.9100000001,242080.07200000001,7744.678,39024.049,211.44000000000003,8852.018,20838.418999999994,41240.060000000005,769488.6960000001,84447.15999999999,668679.9019999998,559918.865,191209.75800000006,115.42,20200715,78913.0,1289006.0,3986.0,1663.0,1441.0,,,,53867.0,169,6330.0,0,,1726,33084,98539.0,1289006.0,34133,,,21844.0,1211.0,1647.0,339.0,280.0,5277.0,4702.0,13241.0,3290.0,2500.0,36.0,80.0,80.0,27.0,19.0,111.0,122.0,331.0
MN,4886964,1492.6,4009495.8930000006,336938.498,48717.66699999997,254561.42100000006,541.5840000000001,88553.767,147574.92899999997,260874.39699999997,33726.57,18507.128000000004,537268.69,43923.597,481175.07800000015,98.63999999999999,2609676.568000001,3123934.0,0.276007894736842,289.1484987760526,989732,2573.8,924190.0930000001,26990.774999999994,5777.715,22133.392000000003,110.50200000000001,4194.094,6023.437,13329.555999999999,336982.35999999987,31230.602999999996,256543.462,314919.12000000005,69112.78899999998,69.63000000000001,20200715,43742.0,746755.0,606.0,263.0,,4495.0,1353.0,,38179.0,39,1558.0,102,4495.0,973,28331,,,28843,,,8896.0,603.0,2980.0,350.0,94.0,839.0,5177.0,6605.0,1215.0,149.0,9.0,65.0,65.0,29.0,3.0,22.0,23.0,332.0
MO,4629271,1423.6999999999998,3798331.5779999997,521566.438,19275.389,100960.53899999999,4724.371999999999,60340.992,124518.93499999998,203040.82300000006,37151.785,35809.382,517540.5510000001,29291.596999999998,574571.326,92.88,2257593.0320000006,2437045.0,0.4578361111111113,228.3542535847222,1976892,2989.5000000000005,1604337.7409999997,311256.069,4974.64,34506.56999999999,506.69800000000004,4337.078999999999,15889.064,27308.904000000002,671731.733,76682.368,586549.365,575829.042,164523.30800000002,84.33999999999999,20200715,29714.0,488233.0,1043.0,,144.0,,,,,44,1102.0,0,,1134,18591,34290.0,611600.0,19725,,,7541.0,,,,,855.0,1913.0,6007.0,643.0,380.0,,,,,,12.0,29.0,106.0
MS,1991822,929.4999999999998,1198434.199,714617.5260000001,4544.16,25447.468999999994,68.454,18312.409999999993,29820.287000000004,65192.70700000002,19560.833999999995,27819.367,211340.51299999998,17932.328,360262.7910000001,64.92999999999999,861112.182,1598464.0,0.7212919999999998,132.2357733184,405593,1729.3999999999999,290630.862,106942.46599999996,814.7820000000002,4054.9329999999995,99.716,995.9270000000001,2047.4579999999999,4371.231000000001,144668.05899999998,24137.94399999999,142843.01499999998,107750.19499999999,47885.284,51.440000000000005,20200715,38567.0,318290.0,1099.0,240.0,132.0,3629.0,,,25932.0,44,1290.0,135,3629.0,1904,16167,,,16450,,,17937.0,1693.0,124.0,1128.0,,,2531.0,4344.0,534.0,641.0,22.0,0.0,0.0,74.0,,,11.0,64.0
MT,751281,412.1,687278.4899999999,3856.721000000001,25937.224000000002,6741.308,520.886,4462.427,22393.738,29469.989999999998,4332.38,4920.7519999999995,93835.926,5794.675,95114.544,24.48,376851.33999999997,668252.0,0.28767999999999994,30.518014475,179718,690.5,172890.416,300.06500000000005,3081.3129999999996,769.9559999999999,64.344,400.411,2137.187,2560.375,61526.284,5191.995000000001,51339.208000000006,54019.929,15127.513000000003,19.05,20200715,2096.0,121662.0,37.0,,,145.0,,,915.0,3,34.0,9,145.0,144,6213,,,6269,,,12.0,,5.0,204.0,,,26.0,648.0,17.0,,,,,10.0,,,,7.0
NC,9743709,3061.7999999999993,6721598.778999998,2063110.1470000003,114097.49100000004,280589.9820000001,6493.572,304463.422,257172.092,917513.7700000003,104240.06199999999,89491.39700000003,1065547.8859999997,87809.178,1451287.3659999997,185.6800000000001,4500796.511,4849497.0,0.6518162162162163,263.55361040581084,2069955,5140.999999999999,1633347.6019999997,356535.2930000001,20396.861999999997,31400.059000000005,561.42,11894.304000000006,15589.212999999998,47319.669,728498.0789999998,101448.12900000002,641518.4830000004,557674.2230000001,197495.07100000008,146.37000000000003,20200715,91266.0,1193371.0,1142.0,,,,,,67124.0,42,1568.0,0,,2462,32404,,,34360,,,14760.0,,1168.0,698.0,193.0,,10358.0,29590.0,873.0,496.0,,22.0,22.0,23.0,4.0,,96.0,56.0
ND,407373,130.0,359241.713,16361.105,8408.572,9130.798999999999,303.571,3489.699,10427.476000000002,13644.609,1696.457,1233.212,54153.100999999995,3351.9449999999997,43082.21799999999,10.1,227273.93000000005,325571.0,0.19682499999999997,59.858676297500004,72720,277.40000000000003,70842.044,532.1009999999999,471.87600000000003,577.66,0.0,134.51100000000002,182.86100000000002,494.389,24093.009000000002,1411.938,19562.228,25749.904,5058.214,7.16,20200715,4565.0,121999.0,43.0,,,284.0,,,3760.0,5,81.0,8,284.0,134,2314,,,2379,,,,,,,,,,4565.0,,,,,,,,,,87.0
NE,1361991,403.0,1159917.419,85066.571,8263.104000000001,40843.081000000006,1470.9400000000003,27272.832000000002,39690.874,157726.984,8752.472,7002.034,154968.426,11204.929999999998,157438.92700000003,28.529999999999998,716936.7040000001,817803.0,0.4068545454545455,298.27613810636365,256186,767.1999999999999,238234.70799999998,9909.146999999999,891.48,3822.7049999999995,37.387,1820.9569999999999,1609.8970000000004,9362.33,88088.665,8983.405,70369.59,90698.44900000001,17488.061,20.369999999999997,20200715,21717.0,198026.0,211.0,81.0,56.0,1442.0,,,16205.0,17,288.0,851,1442.0,641,5214,,,5662,,,1300.0,,1200.0,245.0,33.0,,1600.0,16025.0,220.0,22.0,,17.0,17.0,8.0,0.0,,10.0,195.0
NH,932535,402.6,881478.088,9163.659,1846.179,19605.521,121.84900000000002,3501.4610000000002,17445.286,21591.048000000003,8301.180999999999,5231.224999999999,97081.329,4710.126,69815.269,22.400000000000002,499115.53,756306.0,0.16488888888888892,156.52089204111113,235525,623.6,230771.835,677.2189999999999,248.47099999999998,1807.927,36.138000000000005,212.114,1846.324,1745.92,81664.26800000001,7665.67,63281.531,80881.836,12706.074,17.55,20200715,6091.0,131018.0,126.0,,,665.0,191.0,,5101.0,19,392.0,76,665.0,165,4540,,,4596,,,314.0,611.0,162.0,,,,269.0,1954.0,326.0,8.0,11.0,3.0,3.0,,,,13.0,143.0
NJ,8881845,862.5,6032063.501,1197429.7100000002,19258.785,830893.203,1114.998,567387.9,231844.404,1768916.5080000001,150682.97900000005,46649.806,829692.8539999999,101259.20599999999,903705.986,58.2,4390372.590000002,2312895.0,0.41857142857142854,2266.4935441428574,1928202,1459.6000000000001,1514580.7250000003,203996.088,3250.313999999999,132799.27000000002,0.0,54027.619,18911.576999999997,201462.83599999998,658465.3259999999,120741.721,509909.2,637887.4999999999,155016.02800000002,44.63000000000001,20200715,176278.0,1566069.0,8270.0,2051.0,1705.0,20774.0,,,31400.0,1877,15607.0,16373,20774.0,4305,112073,,,113486,,,28703.0,50981.0,8552.0,,,,19956.0,138532.0,7249.0,2451.0,2700.0,738.0,738.0,,,,438.0,2959.0
