,date,state,positive,negative,hospitalized_currently,in_icu_currently,on_ventilator_currently,hospitalized_cumulative,in_icu_cumulative,on_ventilator_cumulative,recovered,death_increase,death,hospitalized_increase,hospitalized,positive_increase,negative_increase,positive_tests_viral,negative_tests_viral,total_test_results_increase,data_quality_grade,cases_white,cases_black,cases_latinx,cases_asian,cases_aian,cases_nhpi,cases_multiracial,cases_other,cases_unknown,deaths_white,deaths_black,deaths_latinx,deaths_asian,deaths_asian,deaths_aian,deaths_nhpi,deaths_multiracial,deaths_ethnicity_hispanic,deaths_other,deaths_unknown
32,20200715,NE,21717.0,198026.0,110.0,,,1442.0,,,16205.0,-2,286.0,11,1442.0,318,3190,,,3508,B,12500,1300.0,,1200.0,245.0,33.0,,1600.0,5101.0,220.0,22.0,,16.0,16.0,7.0,0.0,,67.0,10.0,16.0
33,20200715,NH,6091.0,131018.0,23.0,,,665.0,191.0,,5101.0,1,392.0,76,665.0,23,1058,,,1081,B,3822,314.0,611.0,162.0,,,,259.0,945.0,326.0,8.0,11.0,3.0,3.0,,,,11.0,10.0,36.0
34,20200715,NJ,176278.0,1566069.0,923.0,151.0,78.0,20774.0,,,31400.0,25,15607.0,142,20774.0,363,20753,,,21116,A+,37910,18019.0,32155.0,5353.0,,,,12159.0,70682.0,7249.0,2451.0,2700.0,738.0,738.0,,,,2700.0,238.0,2258.0
35,20200715,NM,15514.0,414492.0,171.0,,,2261.0,,,6429.0,3,551.0,34,2261.0,223,5428,,,5651,B,2030,291.0,5585.0,109.0,6789.0,,,,1037.0,98.0,4.0,59.0,1.0,1.0,236.0,,,59.0,,159.0
36,20200715,NV,30468.0,333957.0,1051.0,251.0,124.0,,,,826.0,6,618.0,0,,849,3396,,,4245,A+,4675,1299.0,6662.0,1187.0,97.0,,,1508.0,15040.0,270.0,68.0,89.0,82.0,82.0,4.0,,,89.0,11.0,94.0
37,20200715,NY,404006.0,4444519.0,831.0,165.0,94.0,89995.0,,,71782.0,9,25003.0,0,89995.0,831,62767,,,63598,A,,,,,,,,,404006.0,8569.0,6324.0,6629.0,1694.0,1694.0,,,,6629.0,1804.0,3004.0
38,20200715,OH,69311.0,993312.0,1027.0,316.0,146.0,9209.0,2259.0,,47303.0,6,3075.0,160,9209.0,1316,17558,,,18874,B,32910,18416.0,,1986.0,83.0,133.0,2210.0,4920.0,8653.0,2349.0,592.0,,33.0,33.0,1.0,1.0,37.0,66.0,20.0,42.0
39,20200715,OK,22813.0,424512.0,561.0,231.0,,2170.0,,,17366.0,4,432.0,54,2170.0,1075,4956,24954.0,424512.0,6031,A+,12722,1700.0,,1473.0,1595.0,,,905.0,4418.0,325.0,30.0,,8.0,8.0,35.0,,,17.0,11.0,23.0
40,20200715,OR,12805.0,292651.0,235.0,64.0,35.0,1254.0,,,3129.0,0,244.0,0,1254.0,0,0,,292651.0,0,A+,5447,543.0,,438.0,283.0,350.0,321.0,4209.0,1490.0,184.0,6.0,,9.0,9.0,3.0,6.0,2.0,30.0,19.0,18.0
41,20200715,PA,97665.0,870984.0,667.0,,92.0,,,,74436.0,26,6957.0,0,,994,20372,,,21366,A+,30800,13200.0,,1400.0,,,,879.0,51386.0,4693.0,1426.0,,150.0,150.0,,,,387.0,310.0,378.0
42,20200715,PR,10379.0,192686.0,254.0,18.0,11.0,,,,,2,171.0,0,,256,0,3043.0,191601.0,256,B,,,,,,,,,10379.0,,,,,,,,,,,171.0
43,20200715,RI,17640.0,158235.0,59.0,5.0,3.0,2075.0,,,1707.0,2,987.0,5,2075.0,52,1165,25734.0,271199.0,1217,A+,4878,1629.0,6072.0,,,,,487.0,4574.0,656.0,51.0,85.0,,,,,,85.0,13.0,182.0
44,20200715,SC,62245.0,463738.0,1560.0,,,3744.0,,,23849.0,5,998.0,0,3744.0,1856,6646,77107.0,448876.0,8502,A,20446,14994.0,,454.0,,,,4089.0,22260.0,457.0,410.0,,9.0,9.0,,,,36.0,28.0,101.0
45,20200715,SD,7652.0,85891.0,59.0,,,752.0,,,6663.0,2,111.0,8,752.0,80,1299,,,1379,B,2815,987.0,1130.0,716.0,1236.0,,,768.0,0.0,,,,,,,,,,,111.0
46,20200715,TN,69061.0,1028612.0,1282.0,,,3434.0,,,39857.0,16,783.0,56,3434.0,2273,23512,80368.0,1016685.0,25785,A,29104,14151.0,,741.0,91.0,57.0,,10575.0,14342.0,434.0,280.0,,13.0,13.0,0.0,1.0,,74.0,50.0,5.0
47,20200715,TX,282365.0,2359834.0,10471.0,,,,,,149276.0,110,3432.0,0,,7307,36212,,,43519,B,6522,2989.0,10534.0,651.0,,,,135.0,261534.0,315.0,94.0,211.0,14.0,14.0,,,,211.0,1.0,2797.0
48,20200715,UT,30891.0,401189.0,250.0,83.0,,1913.0,515.0,214.0,18593.0,7,233.0,25,1913.0,413,7146,,,7559,A+,11652,775.0,12519.0,684.0,701.0,1206.0,,3860.0,3377.0,118.0,5.0,54.0,11.0,11.0,21.0,13.0,,54.0,19.0,11.0
49,20200715,VA,73527.0,771455.0,1081.0,246.0,113.0,10608.0,,,9527.0,15,1992.0,58,10608.0,1084,13048,,,14132,A+,16073,11411.0,23832.0,2311.0,87.0,,256.0,1731.0,17826.0,1071.0,465.0,220.0,115.0,115.0,2.0,,0.0,220.0,24.0,95.0
50,20200715,VI,243.0,4637.0,,,,,,,112.0,0,6.0,0,,37,553,,,590,C,,,,,,,,,249.0,,,,,,,,,,,6.0
51,20200715,VT,1318.0,77040.0,19.0,,,,,,1104.0,0,56.0,0,,13,721,,,734,B,1086,146.0,,53.0,2.0,,0.0,25.0,6.0,53.0,,,2.0,2.0,,,,0.0,1.0,0.0
52,20200715,WA,42304.0,675930.0,353.0,,55.0,4788.0,,,,5,1404.0,10,4788.0,547,9413,,,9960,B,10956,1649.0,13279.0,1640.0,483.0,886.0,660.0,725.0,12768.0,921.0,48.0,184.0,115.0,115.0,30.0,14.0,16.0,184.0,31.0,62.0
53,20200715,WI,42197.0,686299.0,295.0,88.0,,3923.0,810.0,,29923.0,1,834.0,31,3923.0,848,13104,,,13952,A+,24961,6752.0,,1447.0,384.0,,,4261.0,4392.0,582.0,197.0,,23.0,23.0,10.0,,,98.0,10.0,12.0
54,20200715,WV,4557.0,213347.0,63.0,26.0,13.0,,,,2999.0,0,97.0,0,,150,3742,,,3892,B,3606,324.0,,,,,,627.0,0.0,58.0,3.0,,,,,,,,,37.0
55,20200715,WY,1985.0,40929.0,17.0,,,131.0,,,1506.0,0,22.0,3,131.0,34,2852,1780.0,57566.0,2886,B,929,20.0,255.0,9.0,346.0,6.0,,78.0,453.0,9.0,0.0,2.0,0.0,0.0,9.0,,,2.0,0.0,2.0
56,20200714,AK,1579.0,147894.0,25.0,,1.0,,,,642.0,0,17.0,0,,40,2843,,,2883,A,,,,,,,,,,,,,,,,,,,,
57,20200714,AL,57255.0,471834.0,1353.0,,,7123.0,931.0,511.0,25783.0,40,1164.0,378,7123.0,1710,7775,,,9485,B,,,,,,,,,,,,,,,,,,,,
58,20200714,AR,29733.0,360566.0,445.0,,91.0,1872.0,,273.0,22844.0,8,331.0,36,1872.0,794,6531,,,7325,A,,,,,,,,,,,,,,,,,,,,
59,20200714,AS,0.0,816.0,,,,,,,,0,0.0,0,,0,0,,,0,C,,,,,,,,,,,,,,,,,,,,
60,20200714,AZ,128097.0,593846.0,3517.0,970.0,674.0,5942.0,,,15678.0,92,2337.0,103,5942.0,4273,15244,,,19517,A+,,,,,,,,,,,,,,,,,,,,
61,20200714,CA,336508.0,5338447.0,8145.0,2083.0,,,,,,47,7087.0,0,,7346,123244,,,130590,B,,,,,,,,,,,,,,,,,,,,
62,20200714,CO,37242.0,367713.0,378.0,,,5941.0,,,4808.0,3,1589.0,46,5941.0,329,5261,,,5590,A,,,,,,,,,,,,,,,,,,,,
63,20200714,CT,47530.0,544231.0,66.0,,,10552.0,,,8351.0,1,4372.0,0,10552.0,20,2423,,,2443,B,,,,,,,,,,,,,,,,,,,,
64,20200714,DC,10946.0,122970.0,91.0,21.0,14.0,,,,1774.0,0,568.0,0,,40,3656,,,3696,A+,,,,,,,,,,,,,,,,,,,,
65,20200714,DE,12969.0,128631.0,48.0,10.0,,,,,7184.0,1,518.0,0,,90,2147,,,2237,A+,,,,,,,,,,,,,,,,,,,,
66,20200714,FL,291629.0,2393614.0,8354.0,,,19201.0,,,,133,4514.0,384,19201.0,9194,36475,363828.0,2957751.0,45669,A,,,,,,,,,,,,,,,,,,,,
67,20200714,GA,123963.0,1007071.0,2741.0,,,13685.0,2662.0,,,28,3054.0,209,13685.0,3394,19673,113044.0,1017990.0,23067,A,,,,,,,,,,,,,,,,,,,,
68,20200714,GU,312.0,17225.0,3.0,,,,,,210.0,0,5.0,0,,0,195,,,195,B,,,,,,,,,,,,,,,,,,,,
69,20200714,HI,1243.0,94827.0,,,,128.0,,,911.0,3,22.0,3,128.0,23,877,,,900,D,,,,,,,,,,,,,,,,,,,,
70,20200714,IA,35849.0,344559.0,186.0,67.0,32.0,,,,26952.0,3,757.0,0,,320,3372,,,3692,A+,,,,,,,,,,,,,,,,,,,,
71,20200714,ID,11402.0,118882.0,129.0,33.0,,500.0,144.0,,3262.0,0,102.0,23,500.0,500,2652,,,3152,A,,,,,,,,,,,,,,,,,,,,
72,20200714,IL,156638.0,1885934.0,1416.0,333.0,126.0,,,,,25,7419.0,0,,707,27739,,,28446,A,,,,,,,,,,,,,,,,,,,,
73,20200714,IN,52685.0,525724.0,767.0,266.0,73.0,7633.0,1620.0,,39155.0,13,2775.0,59,7633.0,648,7352,,,8000,A+,,,,,,,,,,,,,,,,,,,,
74,20200714,KS,20058.0,211117.0,,,,1343.0,410.0,160.0,920.0,0,288.0,0,1343.0,0,0,,,0,A,,,,,,,,,,,,,,,,,,,,
75,20200714,KY,20223.0,435333.0,449.0,84.0,,2802.0,1019.0,,5389.0,6,635.0,11,2802.0,570,13101,,,13671,B,,,,,,,,,,,,,,,,,,,,
76,20200714,LA,82042.0,894413.0,1362.0,,146.0,,,,46334.0,22,3445.0,0,,2215,20814,,,23029,B,,,,,,,,,,,,,,,,,,,,
77,20200714,MA,112130.0,866084.0,560.0,93.0,37.0,11625.0,,,94347.0,10,8340.0,14,11625.0,303,11768,,,12071,A+,,,,,,,,,,,,,,,,,,,,
78,20200714,MD,74260.0,591809.0,415.0,118.0,,11485.0,,,5238.0,9,3334.0,18,11485.0,733,13379,,,14112,A,,,,,,,,,,,,,,,,,,,,
79,20200714,ME,3566.0,121909.0,17.0,7.0,3.0,373.0,,,3062.0,0,114.0,1,373.0,8,1505,4389.0,120516.0,1513,A+,,,,,,,,,,,,,,,,,,,,
80,20200714,MI,77864.0,1255922.0,543.0,184.0,109.0,,,,53867.0,5,6326.0,0,,666,19693,97260.0,1255922.0,20359,A+,,,,,,,,,,,,,,,,,,,,
81,20200714,MN,43170.0,734444.0,236.0,107.0,,4452.0,1348.0,,37749.0,6,1548.0,28,4452.0,398,8227,,,8625,A,,,,,,,,,,,,,,,,,,,,
82,20200714,MO,28826.0,476277.0,811.0,,74.0,,,,,10,1093.0,0,,936,8390,33231.0,599011.0,9326,B,,,,,,,,,,,,,,,,,,,,
83,20200714,MP,33.0,10664.0,,,,4.0,,,19.0,0,2.0,0,4.0,0,-70,,,-70,D,,,,,,,,,,,,,,,,,,,,
84,20200714,MS,37542.0,312671.0,1059.0,227.0,126.0,3585.0,,,25932.0,22,1272.0,55,3585.0,862,5936,,,6798,A,,,,,,,,,,,,,,,,,,,,
85,20200714,MT,1952.0,119444.0,29.0,,,136.0,,,884.0,2,34.0,3,136.0,109,2592,,,2701,C,,,,,,,,,,,,,,,,,,,,
86,20200714,NC,89484.0,1165362.0,1109.0,,,,,,67124.0,42,1552.0,0,,1956,32404,,,34360,A,,,,,,,,,,,,,,,,,,,,
87,20200714,ND,4493.0,120540.0,42.0,,,280.0,,,3685.0,0,78.0,3,280.0,51,1104,,,1155,D,,,,,,,,,,,,,,,,,,,,
88,20200714,NE,21399.0,194836.0,101.0,,,1431.0,,,16025.0,3,288.0,10,1431.0,227,4349,,,4576,B,,,,,,,,,,,,,,,,,,,,
89,20200714,NH,6068.0,129960.0,24.0,,,589.0,191.0,,5056.0,0,391.0,0,589.0,14,1148,,,1162,B,,,,,,,,,,,,,,,,,,,,
90,20200714,NJ,175915.0,1545316.0,888.0,149.0,79.0,20632.0,,,31318.0,22,15582.0,0,20632.0,393,20453,,,20846,A+,,,,,,,,,,,,,,,,,,,,
91,20200714,NM,15291.0,409064.0,172.0,,,2227.0,,,6363.0,3,548.0,23,2227.0,263,5735,,,5998,B,,,,,,,,,,,,,,,,,,,,
92,20200714,NV,29619.0,330561.0,983.0,247.0,121.0,,,,800.0,19,612.0,0,,1104,5883,,,6987,A+,,,,,,,,,,,,,,,,,,,,
93,20200714,NY,403175.0,4381752.0,820.0,167.0,101.0,89995.0,,,71692.0,5,24994.0,0,89995.0,912,59133,,,60045,A,,,,,,,,,,,,,,,,,,,,
